---,Actor,Location,Rotation,Scale,Meshes
Row_0,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-116609.649179,Y=448024.723218,Z=-1641.000000)","(Pitch=0.000000,Yaw=-160.000002,Roll=0.000000)","(X=4.000000,Y=10.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Engine/BasicShapes/Cube.Cube'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_1,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-4092.088625,Y=2411.296526,Z=-448.085296)","(Pitch=-1.006857,Yaw=-128.184859,Roll=-8.416038)","(X=6.000000,Y=6.000000,Z=6.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Seashell/Meshes/SM_pal_b06_Tcom_Seashell_26.SM_pal_b06_Tcom_Seashell_26'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Seashell/Materials/MI_pal_b06_Tcom_Seashell_26""')))"
Row_2,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1345.497943,Y=1958.203144,Z=-294.460830)","(Pitch=-5.303145,Yaw=-109.678118,Roll=0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Nordic_Beach_Rock_Formation_vkujfekfa/Preview/S_Nordic_Beach_Rock_Formation_vkujfekfa_lod5_Var1.S_Nordic_Beach_Rock_Formation_vkujfekfa_lod5_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Nordic_Beach_Rock_Formation_vkujfekfa/Preview/MI_Nordic_Beach_Rock_Formation_vkujfekfa_1K""',MaterialInstanceConstant'""/Game/Pal/Model/Other/WhaleBone/Material/MI_WhaleBone_LowLOD""')))"
Row_3,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-468.050093,Y=2281.948111,Z=-327.191827)","(Pitch=-5.303145,Yaw=-109.678118,Roll=0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Nordic_Beach_Rock_Formation_vkujfekfa/Preview/S_Nordic_Beach_Rock_Formation_vkujfekfa_lod5_Var1.S_Nordic_Beach_Rock_Formation_vkujfekfa_lod5_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Nordic_Beach_Rock_Formation_vkujfekfa/Preview/MI_Nordic_Beach_Rock_Formation_vkujfekfa_1K""',MaterialInstanceConstant'""/Game/Pal/Model/Other/WhaleBone/Material/MI_WhaleBone_LowLOD""')))"
Row_4,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=10492.744934,Y=-831.837603,Z=179.028163)","(Pitch=0.000000,Yaw=151.338093,Roll=-0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_01.SM_pal_b06_cliff_ground_CliffsAndRocksPack_01'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_5,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=9944.536526,Y=-179.314076,Z=178.979517)","(Pitch=-0.000000,Yaw=-47.322389,Roll=0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_02.SM_pal_b06_cliff_ground_CliffsAndRocksPack_02'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_6,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=9316.988757,Y=371.016206,Z=179.028197)","(Pitch=0.000000,Yaw=115.849531,Roll=-0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_01.SM_pal_b06_cliff_ground_CliffsAndRocksPack_01'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_7,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=6986.694143,Y=2169.260579,Z=-360.039106)","(Pitch=0.000000,Yaw=67.082848,Roll=-0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Nordic_Beach_Rock_Formation_vkujfekfa/Preview/S_Nordic_Beach_Rock_Formation_vkujfekfa_lod5_Var1.S_Nordic_Beach_Rock_Formation_vkujfekfa_lod5_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Nordic_Beach_Rock_Formation_vkujfekfa/Preview/MI_Nordic_Beach_Rock_Formation_vkujfekfa_1K""',MaterialInstanceConstant'""/Game/Pal/Model/Other/WhaleBone/Material/MI_WhaleBone_LowLOD""')))"
Row_8,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=7216.391409,Y=1292.461965,Z=-388.857824)","(Pitch=0.000000,Yaw=67.082848,Roll=-0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Nordic_Beach_Rock_Formation_vkujfekfa/Preview/S_Nordic_Beach_Rock_Formation_vkujfekfa_lod5_Var1.S_Nordic_Beach_Rock_Formation_vkujfekfa_lod5_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Nordic_Beach_Rock_Formation_vkujfekfa/Preview/MI_Nordic_Beach_Rock_Formation_vkujfekfa_1K""',MaterialInstanceConstant'""/Game/Pal/Model/Other/WhaleBone/Material/MI_WhaleBone_LowLOD""')))"
Row_9,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=9201.718049,Y=1201.854900,Z=178.977919)","(Pitch=0.000000,Yaw=79.899650,Roll=-0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_02.SM_pal_b06_cliff_ground_CliffsAndRocksPack_02'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
